,range,azimuth,elevation,useless_feature,x,y,z,feat1,feat2,feat3,neighbours,class
0,284252.56786425936,0.5,0.3,-0.7448953640952224,2480.5061213411377,284237.8480819704,1831.3361643254016,0.7210394330994409,0.3936714580675884,1.0,1,1.0
1,38130.459444730855,2.5,0.3,0.34071155611195686,1663.2044818299096,38093.64551093225,542.6497065280219,0.5326320504551832,0.374167454706557,1.0,1,0.0
2,43766.87527514971,4.5,0.3,0.631264267131233,3433.862385740427,43631.35850906718,572.1617759549357,0.5386668557356624,0.3746098365446798,1.0,1,0.0
3,12367.491475259287,6.5,0.3,0.07229761635282317,1400.0205898476272,12287.823014391257,407.7557380498476,0.5110649330773918,0.3721480989435446,1.0,1,0.0
4,3669.3102569805083,8.5,0.3,1.056328662687993,542.3511538187943,3628.9563062332704,362.21237579180683,0.5031742032599917,0.37146731961183993,1.0,2,0.0
5,45113.952852730916,10.5,0.3,-2.532453161387471,8221.25220870945,44357.907486500975,579.2150254292673,0.543225118717941,0.3747155948334213,1.0,1,0.0
6,31140.09343767358,12.5,0.3,-0.13580662938634808,6739.857412082283,30401.5321421493,506.0484029466851,0.5304915675934098,0.3736190983409751,1.0,2,0.0
7,6649.901007783057,14.5,0.3,0.8843352060326088,1664.9794178515986,6437.997717743653,377.8186411592727,0.5064372763749848,0.3717005437814097,1.0,1,0.0
8,204680.52896418047,16.5,0.3,-0.38830618473604434,58131.61412323663,196249.04034395306,1414.6998466522766,0.6991429197041598,0.3873252511446677,1.0,1,1.0
9,20148.376318548515,18.5,0.3,-1.0288777904161561,6393.085988835324,19106.919960354415,448.4961696657508,0.5208641355996355,0.37275751454336337,1.0,1,0.0
10,16071.91641332242,20.5,0.3,1.0262175999922303,5628.426604793812,15053.910774171107,427.1519730417549,0.5168729119433796,0.372438186902632,1.0,1,0.0
11,96634.12172769615,22.5,0.3,-0.48144695736996435,36979.77046984816,89277.06340175151,848.9727662472139,0.6030108414039347,0.3787693097813374,1.0,1,1.0
12,4203.819366434432,24.5,0.3,0.4173170505801498,1743.2715879446257,3825.2603767745413,365.0110461564719,0.5043361587210463,0.3715091392811061,1.0,5,0.0
13,6152.498078871891,26.5,0.3,-0.9643759479469304,2745.193557005057,5506.006464464014,375.21425741385167,0.5065629445234431,0.37166161902169464,1.0,4,0.0
14,3274.991918025421,28.5,0.3,0.1658734812904704,1562.6696624825265,2878.0794888480477,360.14773923097255,0.5034004487492085,0.37143646961777,1.0,3,0.0
15,2779.5601174610097,30.5,0.3,-1.4923407855579816,1410.7140537827422,2394.9172210219626,357.5536762422822,0.5028733663672607,0.37139771036986813,1.0,4,0.0
16,42795.38890864303,32.5,0.3,1.3303331523844766,22993.630504345576,36092.77016824001,567.0751084771896,0.5486120610402805,0.37453357313611085,1.0,1,1.0
17,132242.76594344655,34.5,0.3,-1.0783485365074925,74902.10066502138,108983.23273413845,1035.418339446771,0.6478266722897246,0.3815810400689022,1.0,1,1.0
